id,date,incident_type,severity,status,description,reported_by,created_at
287,2025-02-19,Ransomware,Low,Open,Description for incident 287,Frank,2025-02-19 23:30:00
288,2025-01-16,Network Intrusion,Medium,Resolved,Description for incident 288,Bob,2025-01-16 03:21:00
289,2025-01-15,Malware,Medium,Open,Description for incident 289,Web Team,2025-01-15 18:00:00
290,2025-01-01,Ransomware,High,Investigating,Description for incident 290,Eve,2025-01-01 05:35:00
291,2025-01-28,Data Breach,Low,Open,Description for incident 291,Web Team,2025-01-28 05:52:00
292,2025-01-09,Data Breach,Medium,Mitigating,Description for incident 292,Frank,2025-01-09 11:56:00
293,2025-01-11,Password Attack,Medium,Mitigating,Description for incident 293,IT Admin,2025-01-11 05:30:00
294,2025-02-14,Data Breach,Low,Open,Description for incident 294,David,2025-02-14 11:15:00
295,2025-01-07,Ransomware,Medium,Resolved,Description for incident 295,IT Admin,2025-01-07 13:56:00
296,2025-02-14,Data Breach,Low,Open,Description for incident 296,Charlie,2025-02-14 20:05:00
297,2025-02-28,DDoS,Low,Open,Description for incident 297,Web Team,2025-02-28 12:58:00
298,2025-02-26,Insider Threat,Low,Resolved,Description for incident 298,Security Team,2025-02-26 12:31:00
299,2025-01-28,Malware,Low,Investigating,Description for incident 299,Alice,2025-01-28 21:36:00
300,2025-01-15,Ransomware,High,Resolved,Description for incident 300,Alice,2025-01-15 19:54:00
301,2025-02-17,Insider Threat,High,Mitigating,Description for incident 301,Web Team,2025-02-17 18:02:00
302,2025-02-26,Password Attack,Low,Open,Description for incident 302,Alice,2025-02-26 12:07:00
303,2025-01-22,Malware,High,Mitigating,Description for incident 303,Eve,2025-01-22 12:13:00
304,2025-01-24,Phishing,Low,Resolved,Description for incident 304,IT Admin,2025-01-24 15:49:00
305,2025-02-18,Ransomware,High,Mitigating,Description for incident 305,IT Admin,2025-02-18 12:04:00
306,2025-01-18,DDoS,Low,Investigating,Description for incident 306,Grace,2025-01-18 18:59:00
307,2025-01-21,Insider Threat,Medium,Investigating,Description for incident 307,Bob,2025-01-21 09:36:00
308,2025-02-09,Network Intrusion,High,Mitigating,Description for incident 308,Eve,2025-02-09 03:22:00
309,2025-01-29,Ransomware,High,Mitigating,Description for incident 309,IT Admin,2025-01-29 19:50:00
310,2025-02-03,Password Attack,Medium,Mitigating,Description for incident 310,Charlie,2025-02-03 21:31:00
311,2025-02-22,Insider Threat,Critical,Investigating,Description for incident 311,Bob,2025-02-22 03:45:00
312,2025-01-19,Malware,Medium,Mitigating,Description for incident 312,Charlie,2025-01-19 08:26:00
313,2025-02-15,Unauthorized Access,Critical,Mitigating,Description for incident 313,Security Team,2025-02-15 08:35:00
314,2025-01-05,SQL Injection,Medium,Open,Description for incident 314,Frank,2025-01-05 20:30:00
315,2025-02-09,Unauthorized Access,Critical,Mitigating,Description for incident 315,Charlie,2025-02-09 00:06:00
316,2025-01-04,Password Attack,Low,Open,Description for incident 316,Charlie,2025-01-04 19:28:00
317,2025-02-19,Password Attack,High,Open,Description for incident 317,Web Team,2025-02-19 20:28:00
318,2025-02-07,Ransomware,Medium,Open,Description for incident 318,Charlie,2025-02-07 09:02:00
319,2025-02-18,Password Attack,High,Investigating,Description for incident 319,Bob,2025-02-18 12:09:00
320,2025-01-12,Password Attack,Low,Investigating,Description for incident 320,Eve,2025-01-12 05:54:00
321,2025-02-28,Ransomware,Critical,Resolved,Description for incident 321,Grace,2025-02-28 04:40:00
322,2025-01-24,SQL Injection,Medium,Resolved,Description for incident 322,IT Admin,2025-01-24 23:52:00
323,2025-02-21,Insider Threat,Low,Resolved,Description for incident 323,David,2025-02-21 22:47:00
324,2025-01-06,SQL Injection,Low,Investigating,Description for incident 324,Charlie,2025-01-06 00:13:00
325,2025-01-05,Ransomware,Medium,Open,Description for incident 325,Charlie,2025-01-05 04:07:00
326,2025-01-16,Ransomware,Medium,Open,Description for incident 326,Charlie,2025-01-16 21:35:00
327,2025-01-04,SQL Injection,Medium,Open,Description for incident 327,Charlie,2025-01-04 23:41:00
328,2025-02-02,Password Attack,High,Resolved,Description for incident 328,Frank,2025-02-02 11:14:00
329,2025-01-22,Unauthorized Access,Critical,Investigating,Description for incident 329,Bob,2025-01-22 05:53:00
330,2025-01-05,Malware,Low,Open,Description for incident 330,David,2025-01-05 20:13:00
331,2025-02-05,Password Attack,Critical,Investigating,Description for incident 331,Alice,2025-02-05 15:52:00
332,2025-03-02,Network Intrusion,Critical,Investigating,Description for incident 332,Grace,2025-03-02 15:33:00
333,2025-01-27,Malware,Low,Open,Description for incident 333,Frank,2025-01-27 05:34:00
334,2025-02-09,Malware,Medium,Mitigating,Description for incident 334,Alice,2025-02-09 08:31:00
335,2025-01-19,Data Breach,Low,Investigating,Description for incident 335,Grace,2025-01-19 12:13:00
336,2025-01-28,Password Attack,Low,Open,Description for incident 336,Web Team,2025-01-28 18:19:00
337,2025-02-02,Unauthorized Access,High,Mitigating,Description for incident 337,David,2025-02-02 04:28:00
338,2025-02-18,Unauthorized Access,Low,Resolved,Description for incident 338,Web Team,2025-02-18 16:09:00
339,2025-01-17,DDoS,Critical,Resolved,Description for incident 339,Frank,2025-01-17 22:46:00
340,2025-01-05,Network Intrusion,High,Resolved,Description for incident 340,IT Admin,2025-01-05 04:39:00
341,2025-01-22,Unauthorized Access,High,Investigating,Description for incident 341,Security Team,2025-01-22 06:14:00
342,2025-01-11,Password Attack,Critical,Investigating,Description for incident 342,Bob,2025-01-11 18:45:00
343,2025-01-31,SQL Injection,Medium,Mitigating,Description for incident 343,Grace,2025-01-31 14:01:00
344,2025-01-17,Network Intrusion,Critical,Open,Description for incident 344,IT Admin,2025-01-17 09:04:00
345,2025-02-24,Insider Threat,Medium,Mitigating,Description for incident 345,Security Team,2025-02-24 22:37:00
346,2025-01-31,SQL Injection,Low,Investigating,Description for incident 346,David,2025-01-31 20:15:00
347,2025-02-23,Data Breach,Critical,Resolved,Description for incident 347,Frank,2025-02-23 15:35:00
348,2025-01-11,Data Breach,Low,Investigating,Description for incident 348,David,2025-01-11 03:17:00
349,2025-01-16,Phishing,High,Investigating,Description for incident 349,Eve,2025-01-16 20:26:00
350,2025-02-20,Password Attack,Low,Investigating,Description for incident 350,Frank,2025-02-20 07:31:00
351,2025-01-20,Data Breach,High,Open,Description for incident 351,Web Team,2025-01-20 13:31:00
352,2025-01-01,DDoS,Critical,Open,Description for incident 352,IT Admin,2025-01-01 11:50:00
353,2025-02-13,Network Intrusion,Critical,Resolved,Description for incident 353,IT Admin,2025-02-13 04:21:00
354,2025-03-02,Unauthorized Access,High,Open,Description for incident 354,IT Admin,2025-03-02 13:50:00
355,2025-01-25,Password Attack,High,Open,Description for incident 355,IT Admin,2025-01-25 03:16:00
356,2025-02-23,Ransomware,Medium,Open,Description for incident 356,Security Team,2025-02-23 15:57:00
357,2025-01-08,Unauthorized Access,Medium,Resolved,Description for incident 357,Alice,2025-01-08 11:07:00
358,2025-01-08,SQL Injection,Low,Mitigating,Description for incident 358,IT Admin,2025-01-08 13:18:00
359,2025-02-17,SQL Injection,Medium,Mitigating,Description for incident 359,Security Team,2025-02-17 09:39:00
360,2025-01-20,Phishing,Critical,Mitigating,Description for incident 360,David,2025-01-20 04:19:00
361,2025-01-30,Insider Threat,Critical,Mitigating,Description for incident 361,Grace,2025-01-30 16:21:00
362,2025-02-19,Data Breach,Low,Resolved,Description for incident 362,IT Admin,2025-02-19 13:27:00
363,2025-01-18,Data Breach,Critical,Mitigating,Description for incident 363,IT Admin,2025-01-18 16:17:00
364,2025-02-07,Malware,Medium,Resolved,Description for incident 364,Alice,2025-02-07 23:37:00
365,2025-02-23,Insider Threat,Medium,Resolved,Description for incident 365,Security Team,2025-02-23 03:02:00
366,2025-01-16,DDoS,Medium,Resolved,Description for incident 366,IT Admin,2025-01-16 20:39:00
367,2025-01-22,SQL Injection,Low,Investigating,Description for incident 367,Eve,2025-01-22 00:01:00
368,2025-01-20,Data Breach,Low,Investigating,Description for incident 368,IT Admin,2025-01-20 22:04:00
369,2025-01-27,DDoS,Critical,Mitigating,Description for incident 369,Charlie,2025-01-27 15:39:00
370,2025-01-16,Password Attack,High,Resolved,Description for incident 370,Charlie,2025-01-16 15:43:00
371,2025-02-02,Data Breach,Medium,Investigating,Description for incident 371,Bob,2025-02-02 21:29:00
372,2025-02-08,DDoS,Low,Mitigating,Description for incident 372,Bob,2025-02-08 02:16:00
373,2025-01-05,Insider Threat,Low,Resolved,Description for incident 373,Alice,2025-01-05 15:17:00
374,2025-01-29,Ransomware,High,Open,Description for incident 374,Eve,2025-01-29 19:32:00
375,2025-02-28,DDoS,Medium,Investigating,Description for incident 375,Frank,2025-02-28 02:36:00
376,2025-02-16,Data Breach,Critical,Resolved,Description for incident 376,Bob,2025-02-16 19:57:00
377,2025-01-04,SQL Injection,Critical,Resolved,Description for incident 377,Frank,2025-01-04 10:32:00
378,2025-01-20,Password Attack,Low,Resolved,Description for incident 378,Security Team,2025-01-20 12:15:00
379,2025-01-19,Unauthorized Access,High,Investigating,Description for incident 379,David,2025-01-19 18:02:00
380,2025-01-03,Data Breach,Low,Open,Description for incident 380,Eve,2025-01-03 08:27:00
381,2025-01-19,Ransomware,High,Open,Description for incident 381,Bob,2025-01-19 11:32:00
382,2025-01-16,Data Breach,High,Investigating,Description for incident 382,Frank,2025-01-16 01:23:00
383,2025-02-15,SQL Injection,High,Open,Description for incident 383,Alice,2025-02-15 21:12:00
384,2025-02-28,Malware,Critical,Investigating,Description for incident 384,Grace,2025-02-28 08:46:00
385,2025-02-24,Network Intrusion,High,Mitigating,Description for incident 385,Security Team,2025-02-24 18:28:00
386,2025-01-18,Data Breach,Low,Investigating,Description for incident 386,Frank,2025-01-18 14:20:00
387,2025-01-03,Malware,Low,Investigating,Description for incident 387,Grace,2025-01-03 11:20:00
388,2025-01-26,Phishing,Low,Mitigating,Description for incident 388,Bob,2025-01-26 18:02:00
389,2025-02-16,Ransomware,Medium,Open,Description for incident 389,Eve,2025-02-16 00:25:00
390,2025-01-21,Unauthorized Access,High,Mitigating,Description for incident 390,Security Team,2025-01-21 10:21:00
391,2025-02-23,Data Breach,Critical,Mitigating,Description for incident 391,Web Team,2025-02-23 04:44:00
392,2025-02-21,Network Intrusion,High,Resolved,Description for incident 392,Alice,2025-02-21 04:56:00
393,2025-02-02,Insider Threat,High,Open,Description for incident 393,Bob,2025-02-02 10:14:00
394,2025-02-22,Password Attack,Medium,Open,Description for incident 394,IT Admin,2025-02-22 18:33:00
395,2025-03-01,Data Breach,High,Mitigating,Description for incident 395,David,2025-03-01 07:34:00
396,2025-02-15,Ransomware,High,Open,Description for incident 396,Frank,2025-02-15 01:22:00
397,2025-01-22,SQL Injection,Critical,Resolved,Description for incident 397,Charlie,2025-01-22 21:02:00
398,2025-02-26,Network Intrusion,Critical,Resolved,Description for incident 398,Charlie,2025-02-26 23:40:00
399,2025-01-24,Insider Threat,High,Resolved,Description for incident 399,Alice,2025-01-24 19:52:00
400,2025-02-15,DDoS,Critical,Resolved,Description for incident 400,IT Admin,2025-02-15 06:37:00
401,2025-01-09,Insider Threat,Low,Open,Description for incident 401,Web Team,2025-01-09 16:20:00
402,2025-01-31,SQL Injection,High,Mitigating,Description for incident 402,Charlie,2025-01-31 06:14:00
403,2025-02-21,Data Breach,Medium,Resolved,Description for incident 403,Eve,2025-02-21 04:43:00
404,2025-02-27,Unauthorized Access,Low,Open,Description for incident 404,Frank,2025-02-27 12:45:00
405,2025-01-26,Data Breach,High,Investigating,Description for incident 405,Grace,2025-01-26 06:35:00
406,2025-01-30,Ransomware,Medium,Open,Description for incident 406,Frank,2025-01-30 14:35:00
407,2025-01-23,Malware,High,Open,Description for incident 407,Web Team,2025-01-23 01:09:00
408,2025-02-22,Insider Threat,Critical,Investigating,Description for incident 408,Alice,2025-02-22 12:37:00
409,2025-02-06,Ransomware,Medium,Mitigating,Description for incident 409,Frank,2025-02-06 12:52:00
410,2025-01-09,Password Attack,Low,Resolved,Description for incident 410,IT Admin,2025-01-09 15:09:00
411,2025-02-05,Malware,Critical,Investigating,Description for incident 411,David,2025-02-05 12:05:00
412,2025-02-04,SQL Injection,High,Open,Description for incident 412,Security Team,2025-02-04 00:03:00
413,2025-01-22,SQL Injection,Medium,Mitigating,Description for incident 413,Frank,2025-01-22 20:30:00
414,2025-01-29,Ransomware,High,Investigating,Description for incident 414,IT Admin,2025-01-29 08:49:00
415,2025-01-29,SQL Injection,Critical,Open,Description for incident 415,Charlie,2025-01-29 03:18:00
416,2025-01-14,Insider Threat,Medium,Resolved,Description for incident 416,IT Admin,2025-01-14 02:57:00
417,2025-01-16,Network Intrusion,High,Open,Description for incident 417,Alice,2025-01-16 21:08:00
418,2025-01-22,SQL Injection,Critical,Investigating,Description for incident 418,Eve,2025-01-22 05:09:00
419,2025-01-27,Network Intrusion,Critical,Open,Description for incident 419,IT Admin,2025-01-27 18:09:00
420,2025-01-14,Phishing,High,Resolved,Description for incident 420,Alice,2025-01-14 00:44:00
421,2025-01-22,SQL Injection,High,Resolved,Description for incident 421,Bob,2025-01-22 12:47:00
422,2025-01-13,Data Breach,High,Resolved,Description for incident 422,Grace,2025-01-13 17:43:00
423,2025-01-27,Insider Threat,Low,Mitigating,Description for incident 423,Alice,2025-01-27 23:06:00
424,2025-02-17,Phishing,Low,Open,Description for incident 424,Web Team,2025-02-17 07:10:00
425,2025-01-16,Phishing,Low,Investigating,Description for incident 425,Bob,2025-01-16 08:54:00
426,2025-01-07,DDoS,Critical,Resolved,Description for incident 426,Web Team,2025-01-07 10:01:00
427,2025-02-13,Insider Threat,High,Investigating,Description for incident 427,David,2025-02-13 05:18:00
428,2025-01-10,Network Intrusion,High,Open,Description for incident 428,Eve,2025-01-10 15:34:00
429,2025-02-22,Password Attack,Critical,Resolved,Description for incident 429,Frank,2025-02-22 16:48:00
430,2025-02-28,Insider Threat,Medium,Investigating,Description for incident 430,Security Team,2025-02-28 01:43:00
431,2025-02-24,Phishing,Critical,Investigating,Description for incident 431,David,2025-02-24 09:35:00
432,2025-01-04,Data Breach,Critical,Open,Description for incident 432,Eve,2025-01-04 11:28:00
433,2025-02-07,SQL Injection,Medium,Resolved,Description for incident 433,IT Admin,2025-02-07 20:50:00
434,2025-02-22,Data Breach,Low,Investigating,Description for incident 434,IT Admin,2025-02-22 23:29:00
435,2025-01-10,Malware,High,Investigating,Description for incident 435,Frank,2025-01-10 12:37:00
436,2025-01-20,Ransomware,Critical,Resolved,Description for incident 436,Web Team,2025-01-20 03:43:00
437,2025-02-21,Password Attack,Low,Resolved,Description for incident 437,IT Admin,2025-02-21 12:44:00
438,2025-01-24,Ransomware,High,Investigating,Description for incident 438,Web Team,2025-01-24 14:05:00
439,2025-01-31,DDoS,Medium,Resolved,Description for incident 439,Web Team,2025-01-31 08:55:00
440,2025-01-06,Network Intrusion,Low,Resolved,Description for incident 440,Frank,2025-01-06 03:51:00
441,2025-02-20,Insider Threat,High,Resolved,Description for incident 441,Grace,2025-02-20 22:51:00
442,2025-02-15,Ransomware,Low,Open,Description for incident 442,Web Team,2025-02-15 23:28:00
443,2025-02-11,Unauthorized Access,Critical,Investigating,Description for incident 443,Grace,2025-02-11 22:48:00
444,2025-01-23,Malware,Low,Mitigating,Description for incident 444,Eve,2025-01-23 13:40:00
445,2025-03-01,Phishing,High,Investigating,Description for incident 445,Web Team,2025-03-01 07:16:00
446,2025-02-05,DDoS,Low,Open,Description for incident 446,Charlie,2025-02-05 22:18:00
447,2025-01-20,SQL Injection,Medium,Resolved,Description for incident 447,Grace,2025-01-20 17:41:00
448,2025-02-03,Ransomware,Medium,Open,Description for incident 448,Bob,2025-02-03 11:21:00
449,2025-02-22,Data Breach,Critical,Investigating,Description for incident 449,IT Admin,2025-02-22 16:45:00
450,2025-02-24,Insider Threat,Medium,Mitigating,Description for incident 450,Alice,2025-02-24 03:54:00
451,2025-01-25,Data Breach,Medium,Resolved,Description for incident 451,Alice,2025-01-25 00:03:00
452,2025-01-27,Phishing,Low,Investigating,Description for incident 452,Frank,2025-01-27 23:33:00
453,2025-03-02,Phishing,Critical,Open,Description for incident 453,Security Team,2025-03-02 06:03:00
454,2025-02-23,Phishing,Medium,Mitigating,Description for incident 454,Bob,2025-02-23 20:53:00
455,2025-02-07,Password Attack,Critical,Mitigating,Description for incident 455,Alice,2025-02-07 11:23:00
456,2025-02-10,SQL Injection,High,Mitigating,Description for incident 456,Charlie,2025-02-10 21:37:00
457,2025-01-04,Password Attack,Low,Mitigating,Description for incident 457,Security Team,2025-01-04 19:40:00
458,2025-01-23,Insider Threat,Medium,Investigating,Description for incident 458,Eve,2025-01-23 08:03:00
459,2025-02-23,Malware,Critical,Mitigating,Description for incident 459,Frank,2025-02-23 08:13:00
460,2025-01-01,Data Breach,Low,Mitigating,Description for incident 460,Eve,2025-01-01 21:26:00
461,2025-01-07,DDoS,Low,Open,Description for incident 461,IT Admin,2025-01-07 09:16:00
462,2025-02-18,Phishing,Medium,Resolved,Description for incident 462,Bob,2025-02-18 03:42:00
463,2025-01-06,SQL Injection,Medium,Investigating,Description for incident 463,Eve,2025-01-06 14:50:00
464,2025-01-24,Unauthorized Access,Medium,Mitigating,Description for incident 464,Grace,2025-01-24 02:22:00
465,2025-02-09,SQL Injection,Medium,Mitigating,Description for incident 465,Grace,2025-02-09 07:50:00
466,2025-01-03,Malware,Critical,Open,Description for incident 466,Bob,2025-01-03 06:20:00
467,2025-01-07,DDoS,Critical,Investigating,Description for incident 467,Web Team,2025-01-07 20:47:00
468,2025-02-14,SQL Injection,Low,Open,Description for incident 468,David,2025-02-14 04:50:00
469,2025-01-03,Insider Threat,High,Open,Description for incident 469,Web Team,2025-01-03 14:16:00
470,2025-02-22,SQL Injection,Low,Mitigating,Description for incident 470,Alice,2025-02-22 01:50:00
471,2025-02-27,Unauthorized Access,Critical,Investigating,Description for incident 471,Alice,2025-02-27 11:57:00
472,2025-01-02,Malware,Low,Resolved,Description for incident 472,Frank,2025-01-02 18:45:00
473,2025-02-08,Ransomware,Critical,Resolved,Description for incident 473,Charlie,2025-02-08 07:03:00
474,2025-03-02,Password Attack,High,Resolved,Description for incident 474,David,2025-03-02 05:02:00
475,2025-02-20,Malware,Low,Investigating,Description for incident 475,IT Admin,2025-02-20 13:54:00
476,2025-02-28,Insider Threat,Critical,Mitigating,Description for incident 476,Bob,2025-02-28 21:40:00
477,2025-01-19,Data Breach,High,Investigating,Description for incident 477,Grace,2025-01-19 01:41:00
478,2025-01-04,Phishing,High,Investigating,Description for incident 478,Bob,2025-01-04 23:40:00
479,2025-01-23,SQL Injection,Low,Investigating,Description for incident 479,Charlie,2025-01-23 12:45:00
480,2025-01-31,Phishing,High,Investigating,Description for incident 480,Security Team,2025-01-31 17:21:00
481,2025-01-01,Phishing,Medium,Open,Description for incident 481,Web Team,2025-01-01 02:41:00
482,2025-01-02,SQL Injection,Medium,Investigating,Description for incident 482,Bob,2025-01-02 04:01:00
483,2025-01-21,Data Breach,Medium,Open,Description for incident 483,David,2025-01-21 18:16:00
484,2025-01-11,SQL Injection,High,Open,Description for incident 484,Eve,2025-01-11 13:12:00
485,2025-01-14,Network Intrusion,Critical,Open,Description for incident 485,IT Admin,2025-01-14 11:56:00
486,2025-01-15,Insider Threat,Critical,Open,Description for incident 486,Eve,2025-01-15 22:54:00
487,2025-01-03,Malware,Low,Investigating,Description for incident 487,Eve,2025-01-03 04:18:00
488,2025-01-12,Unauthorized Access,Critical,Open,Description for incident 488,Frank,2025-01-12 23:44:00
489,2025-02-11,Data Breach,High,Open,Description for incident 489,Eve,2025-02-11 15:02:00
490,2025-02-07,Password Attack,Low,Mitigating,Description for incident 490,Web Team,2025-02-07 04:09:00
491,2025-01-07,Malware,Medium,Investigating,Description for incident 491,Charlie,2025-01-07 00:16:00
492,2025-02-18,Malware,Critical,Mitigating,Description for incident 492,IT Admin,2025-02-18 07:22:00
493,2025-02-15,Ransomware,High,Open,Description for incident 493,Frank,2025-02-15 16:34:00
494,2025-02-17,SQL Injection,Low,Mitigating,Description for incident 494,IT Admin,2025-02-17 04:44:00
495,2025-01-07,Unauthorized Access,Medium,Mitigating,Description for incident 495,Alice,2025-01-07 11:11:00
496,2025-01-06,Ransomware,Low,Mitigating,Description for incident 496,Web Team,2025-01-06 09:38:00
497,2025-02-14,Data Breach,Critical,Open,Description for incident 497,Charlie,2025-02-14 10:05:00
498,2025-01-22,Data Breach,Medium,Investigating,Description for incident 498,Bob,2025-01-22 05:37:00
499,2025-01-12,Ransomware,Low,Open,Description for incident 499,Security Team,2025-01-12 05:19:00
500,2025-02-22,Phishing,Low,Mitigating,Description for incident 500,Charlie,2025-02-22 21:13:00
501,2025-01-11,Data Breach,Medium,Open,Description for incident 501,Web Team,2025-01-11 10:48:00
502,2025-02-17,Insider Threat,Medium,Resolved,Description for incident 502,Web Team,2025-02-17 20:59:00
503,2025-02-21,Data Breach,Low,Resolved,Description for incident 503,Frank,2025-02-21 19:38:00
504,2025-02-19,Unauthorized Access,Medium,Investigating,Description for incident 504,Security Team,2025-02-19 07:05:00
505,2025-01-11,Data Breach,Medium,Investigating,Description for incident 505,Bob,2025-01-11 14:02:00
506,2025-02-24,Unauthorized Access,Low,Mitigating,Description for incident 506,David,2025-02-24 19:48:00
507,2025-01-03,Phishing,High,Resolved,Description for incident 507,David,2025-01-03 09:43:00
508,2025-02-01,Ransomware,High,Mitigating,Description for incident 508,IT Admin,2025-02-01 19:52:00
509,2025-01-27,DDoS,Critical,Open,Description for incident 509,Bob,2025-01-27 20:25:00
510,2025-01-06,Phishing,Critical,Resolved,Description for incident 510,Web Team,2025-01-06 12:36:00
511,2025-02-08,Network Intrusion,Low,Open,Description for incident 511,Alice,2025-02-08 14:18:00
512,2025-02-12,Insider Threat,Low,Open,Description for incident 512,IT Admin,2025-02-12 18:51:00
513,2025-02-23,Malware,High,Open,Description for incident 513,IT Admin,2025-02-23 23:57:00
514,2025-01-31,Data Breach,Critical,Open,Description for incident 514,Charlie,2025-01-31 07:07:00
515,2025-02-11,Phishing,High,Resolved,Description for incident 515,Charlie,2025-02-11 06:04:00
516,2025-02-04,DDoS,Medium,Resolved,Description for incident 516,Charlie,2025-02-04 01:30:00
517,2025-02-19,DDoS,Low,Open,Description for incident 517,Security Team,2025-02-19 05:04:00
518,2025-01-31,Data Breach,Critical,Open,Description for incident 518,Charlie,2025-01-31 19:55:00
519,2025-01-29,Data Breach,Low,Open,Description for incident 519,Grace,2025-01-29 18:17:00
520,2025-01-05,Network Intrusion,High,Mitigating,Description for incident 520,Security Team,2025-01-05 20:11:00
521,2025-01-09,Phishing,Medium,Mitigating,Description for incident 521,Bob,2025-01-09 05:47:00
522,2025-01-28,Insider Threat,Critical,Mitigating,Description for incident 522,Security Team,2025-01-28 04:57:00
523,2025-01-31,Malware,Low,Resolved,Description for incident 523,Security Team,2025-01-31 12:59:00
524,2025-02-17,DDoS,Critical,Open,Description for incident 524,Charlie,2025-02-17 14:11:00
525,2025-01-25,Unauthorized Access,Low,Investigating,Description for incident 525,Web Team,2025-01-25 09:40:00
526,2025-01-16,Data Breach,Low,Investigating,Description for incident 526,Eve,2025-01-16 18:20:00
527,2025-02-23,SQL Injection,Medium,Open,Description for incident 527,Security Team,2025-02-23 21:36:00
528,2025-02-04,Unauthorized Access,Critical,Open,Description for incident 528,Eve,2025-02-04 01:51:00
529,2025-01-07,Password Attack,Critical,Investigating,Description for incident 529,Eve,2025-01-07 12:12:00
530,2025-02-13,Insider Threat,High,Resolved,Description for incident 530,Web Team,2025-02-13 01:59:00
531,2025-02-16,Ransomware,Critical,Resolved,Description for incident 531,Alice,2025-02-16 00:32:00
532,2025-01-20,Network Intrusion,Critical,Investigating,Description for incident 532,Frank,2025-01-20 19:18:00
533,2025-01-23,Insider Threat,Low,Investigating,Description for incident 533,IT Admin,2025-01-23 12:10:00
534,2025-02-17,Insider Threat,Critical,Resolved,Description for incident 534,Charlie,2025-02-17 05:25:00
535,2025-02-08,Phishing,Low,Investigating,Description for incident 535,Frank,2025-02-08 11:13:00
536,2025-02-20,Password Attack,Medium,Investigating,Description for incident 536,Security Team,2025-02-20 08:24:00
537,2025-01-05,Network Intrusion,Low,Resolved,Description for incident 537,Frank,2025-01-05 14:10:00
538,2025-02-22,Network Intrusion,Critical,Resolved,Description for incident 538,Alice,2025-02-22 09:19:00
539,2025-02-15,Malware,High,Investigating,Description for incident 539,Grace,2025-02-15 02:25:00
540,2025-01-08,Data Breach,High,Open,Description for incident 540,David,2025-01-08 21:16:00
541,2025-02-22,Insider Threat,High,Investigating,Description for incident 541,Bob,2025-02-22 19:46:00
542,2025-01-13,Phishing,Low,Resolved,Description for incident 542,Alice,2025-01-13 21:08:00
543,2025-02-09,Ransomware,Critical,Investigating,Description for incident 543,David,2025-02-09 14:05:00
544,2025-02-02,Insider Threat,Medium,Mitigating,Description for incident 544,Eve,2025-02-02 03:22:00
545,2025-02-13,Data Breach,Medium,Investigating,Description for incident 545,Web Team,2025-02-13 02:50:00
546,2025-01-19,Ransomware,Medium,Investigating,Description for incident 546,Bob,2025-01-19 02:58:00
547,2025-02-03,Unauthorized Access,High,Open,Description for incident 547,Web Team,2025-02-03 16:11:00
548,2025-02-23,Network Intrusion,Medium,Open,Description for incident 548,Grace,2025-02-23 16:26:00
549,2025-02-06,Phishing,Low,Resolved,Description for incident 549,Frank,2025-02-06 03:20:00
550,2025-02-17,Password Attack,High,Open,Description for incident 550,Alice,2025-02-17 17:19:00
551,2025-01-03,Unauthorized Access,Critical,Resolved,Description for incident 551,Alice,2025-01-03 03:27:00
552,2025-01-21,Data Breach,Critical,Open,Description for incident 552,Web Team,2025-01-21 05:38:00
553,2025-02-15,Malware,Medium,Resolved,Description for incident 553,Web Team,2025-02-15 10:42:00
554,2025-02-15,Data Breach,Critical,Resolved,Description for incident 554,Security Team,2025-02-15 03:33:00
555,2025-02-04,DDoS,High,Open,Description for incident 555,Web Team,2025-02-04 05:17:00
556,2025-03-02,Network Intrusion,High,Investigating,Description for incident 556,IT Admin,2025-03-02 15:11:00
557,2025-03-01,Malware,High,Mitigating,Description for incident 557,Bob,2025-03-01 07:55:00
558,2025-02-27,Malware,High,Resolved,Description for incident 558,Charlie,2025-02-27 04:52:00
559,2025-01-13,Unauthorized Access,Low,Open,Description for incident 559,Security Team,2025-01-13 03:24:00
560,2025-01-20,Ransomware,Medium,Mitigating,Description for incident 560,Security Team,2025-01-20 12:07:00
561,2025-02-19,Password Attack,Low,Open,Description for incident 561,Security Team,2025-02-19 09:08:00
562,2025-01-15,Insider Threat,Critical,Resolved,Description for incident 562,Frank,2025-01-15 06:04:00
563,2025-01-04,Malware,High,Investigating,Description for incident 563,Alice,2025-01-04 19:55:00
564,2025-01-26,Unauthorized Access,High,Investigating,Description for incident 564,Frank,2025-01-26 20:54:00
565,2025-01-09,SQL Injection,Low,Investigating,Description for incident 565,Charlie,2025-01-09 10:13:00
566,2025-01-20,Network Intrusion,Low,Investigating,Description for incident 566,IT Admin,2025-01-20 15:48:00
567,2025-02-24,Data Breach,Low,Investigating,Description for incident 567,Security Team,2025-02-24 02:04:00
568,2025-01-12,Insider Threat,Critical,Mitigating,Description for incident 568,Bob,2025-01-12 17:48:00
569,2025-02-26,Insider Threat,Low,Open,Description for incident 569,David,2025-02-26 01:10:00
570,2025-01-16,Insider Threat,Critical,Investigating,Description for incident 570,Bob,2025-01-16 00:39:00
571,2025-01-07,Malware,Medium,Investigating,Description for incident 571,Charlie,2025-01-07 11:28:00
572,2025-02-21,Data Breach,Critical,Mitigating,Description for incident 572,Charlie,2025-02-21 13:18:00
573,2025-01-21,SQL Injection,Low,Open,Description for incident 573,Frank,2025-01-21 20:21:00
